name,geo_id,total_population,white_alone,education_universe_25plus,no_schooling_completed,high_school_graduate,ged_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years,associate_degree,bachelor_degree,civilian_labor_force_16plus,labor_force_total,civilian_unemployed,income_below_poverty_level,median_household_income,state_code,place_code,year,state_name,place_id,city_name
"New Britain city, Connecticut",1600000US0950370,72889,52870,46651,1174,15606,3190,2593,3735,3729,4236,57604,37479,3410,18277,40082,09,50370,2014,Connecticut,09_50370,New Britain
"New Haven city, Connecticut",1600000US0952000,130285,55948,80801,1434,20531,2246,2358,7898,2899,13813,104221,70113,7864,32133,37534,09,52000,2014,Connecticut,09_52000,New Haven
"Norwalk city, Connecticut",1600000US0955990,88144,61782,61792,217,13301,1296,2647,9173,4812,14185,72674,52585,4445,7239,75285,09,55990,2014,Connecticut,09_55990,Norwalk
"Stamford city, Connecticut",1600000US0973000,128283,75547,90399,502,15348,1576,3691,8613,3353,26356,105250,79511,7373,10922,88686,09,73000,2014,Connecticut,09_73000,Stamford
"Waterbury city, Connecticut",1600000US0980000,109311,63630,69478,1586,21497,4973,4909,9047,4907,7170,84461,52337,8046,27797,37246,09,80000,2014,Connecticut,09_80000,Waterbury
"Wilmington city, Delaware",1600000US1077580,71808,25207,49522,270,13520,1970,1948,6452,2312,8813,57127,36220,3135,18490,40998,10,77580,2014,Delaware,10_77580,Wilmington
"Washington city, District of Columbia",1600000US1150000,658893,265077,463211,5103,71358,12855,16560,46376,15936,112706,555126,382575,33594,110666,71648,11,50000,2014,District of Columbia,11_50000,Washington
"Alafaya CDP, Florida",1600000US1200410,84594,59191,,,,,,,,,63743,48201,4834,10712,58199,12,00410,2014,Florida,12_00410,Alafaya CDP
"Boca Raton city, Florida",1600000US1207300,91321,76186,67716,171,11391,1475,3483,8702,4861,20871,79874,50878,3172,6689,77437,12,07300,2014,Florida,12_07300,Boca Raton
"Boynton Beach city, Florida",1600000US1207875,73121,46096,52661,1633,12801,1374,3292,8412,4768,11091,61281,38849,3747,11113,44529,12,07875,2014,Florida,12_07875,Boynton Beach
"Brandon CDP, Florida",1600000US1208150,105125,74502,76519,234,19295,3308,4974,15724,7038,14038,85658,56345,3473,14508,55686,12,08150,2014,Florida,12_08150,Brandon CDP
"Cape Coral city, Florida",1600000US1210275,169855,151511,125466,2288,34371,5671,10005,19454,15904,19033,139768,78895,5017,21141,50931,12,10275,2014,Florida,12_10275,Cape Coral
