name,geo_id,total_population,white_alone,education_universe_25plus,no_schooling_completed,high_school_graduate,ged_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years,associate_degree,bachelor_degree,civilian_labor_force_16plus,labor_force_total,civilian_unemployed,income_below_poverty_level,median_household_income,state_code,place_code,year,state_name,place_id,city_name
"Brentwood city, California",1600000US0608142,66120,32788,,,,,,,,,50740,32032,1090,5885,132610,06,08142,2022,California,06_08142,Brentwood
"Buena Park city, California",1600000US0608786,82451,21646,57822,1505,10515,1446,2928,10578,5500,12797,66428,44817,1922,7801,102840,06,08786,2022,California,06_08786,Buena Park
"Burbank city, California",1600000US0608954,103919,63681,76390,1598,12045,1579,5513,10979,6790,21587,86259,58483,3324,9827,92581,06,08954,2022,California,06_08954,Burbank
"Camarillo city, California",1600000US0610046,70287,38849,50612,1320,7038,652,2688,7003,5920,14010,57033,33907,801,7257,100594,06,10046,2022,California,06_10046,Camarillo
"Carlsbad city, California",1600000US0611194,114161,78049,,,,,,,,,87938,57638,1989,6370,146596,06,11194,2022,California,06_11194,Carlsbad
"Carmichael CDP, California",1600000US0611390,82145,56972,60730,554,11684,1969,4287,9616,4666,14629,68965,43420,1547,8744,81823,06,11390,2022,California,06_11390,Carmichael CDP
"Carson city, California",1600000US0611530,92391,11918,66290,3451,11369,1535,4061,10268,5989,13676,76784,47743,3354,6045,98862,06,11530,2022,California,06_11530,Carson
"Castro Valley CDP, California",1600000US0611964,66506,26618,47703,466,5380,718,2399,5783,4578,13155,52051,33219,1595,4279,133285,06,11964,2022,California,06_11964,Castro Valley CDP
"Chico city, California",1600000US0613014,101304,73067,62160,780,7056,1656,4047,10407,7533,17822,85915,56504,2682,21450,65021,06,13014,2022,California,06_13014,Chico
"Chino city, California",1600000US0613210,93149,22222,61780,1586,12596,1894,3904,9129,4883,12141,70999,45222,1767,10450,95721,06,13210,2022,California,06_13210,Chino
"Chino Hills city, California",1600000US0613214,77923,15013,55664,1323,9765,1341,2905,7107,6176,14913,64353,41802,2473,6109,105978,06,13214,2022,California,06_13214,Chino Hills
"Chula Vista city, California",1600000US0613392,279158,70112,180073,5600,32857,5656,11794,30357,14637,40544,217457,145585,9293,27939,101190,06,13392,2022,California,06_13392,Chula Vista
"Citrus Heights city, California",1600000US0613588,86440,58155,63088,1765,13827,3279,6734,12716,7194,9790,70835,44611,1467,9047,73923,06,13588,2022,California,06_13588,Citrus Heights
"Clovis city, California",1600000US0614218,124546,63530,82685,1676,18140,4090,6917,8992,8307,16871,96693,63388,1620,8632,100399,06,14218,2022,California,06_14218,Clovis
"Compton city, California",1600000US0615044,91979,3690,56809,3699,13170,1041,4371,5708,5452,4699,69180,41245,3255,18882,68355,06,15044,2022,California,06_15044,Compton
"Concord city, California",1600000US0616000,122616,50826,90387,2863,17696,1794,5279,11289,8594,23132,102264,67641,2710,10667,104523,06,16000,2022,California,06_16000,Concord
"Corona city, California",1600000US0616350,159534,55286,101689,4070,26260,1872,7313,12195,7566,20583,125866,84987,3778,11908,99953,06,16350,2022,California,06_16350,Corona
"Costa Mesa city, California",1600000US0616532,109527,60029,82364,2959,11590,1270,4370,12106,5918,26995,95780,69802,1837,11947,103891,06,16532,2022,California,06_16532,Costa Mesa
"Daly City city, California",1600000US0617918,99990,12891,77207,2722,15727,1230,6258,10053,5628,20752,87251,59205,2767,11291,109227,06,17918,2022,California,06_17918,Daly City
"Davis city, California",1600000US0618100,67057,34278,34288,166,3504,637,800,2862,1633,9772,59361,37011,1453,17336,67373,06,18100,2022,California,06_18100,Davis
"Downey city, California",1600000US0619766,109908,15692,74886,3935,16979,1618,4548,9195,7444,13990,89253,61528,2377,8618,85089,06,19766,2022,California,06_19766,Downey
"Dublin city, California",1600000US0620018,72061,16179,49778,281,3789,781,1541,4564,1748,16922,55307,39723,1180,3721,186892,06,20018,2022,California,06_20018,Dublin
"East Los Angeles CDP, California",1600000US0620802,112965,8299,73641,8189,15481,1304,3307,8169,2485,6277,90412,58703,3096,21697,64156,06,20802,2022,California,06_20802,East Los Angeles CDP
"Eastvale city, California",1600000US0621230,71015,12743,48392,1274,8495,990,3160,8789,5206,9654,57311,40913,1642,3840,144364,06,21230,2022,California,06_21230,Eastvale
"El Cajon city, California",1600000US0621712,104417,52826,68975,3430,16043,2403,5541,11874,5875,9276,80142,48258,4104,23270,66045,06,21712,2022,California,06_21712,El Cajon
"Elk Grove city, California",1600000US0622020,177558,45727,120889,6283,19590,2176,9824,18646,12149,31679,140555,87080,4309,14831,106572,06,22020,2022,California,06_22020,Elk Grove
"El Monte city, California",1600000US0622230,105307,5975,71260,6895,20943,1866,3657,6859,4434,7081,82867,50928,2068,16692,59368,06,22230,2022,California,06_22230,El Monte
"Escondido city, California",1600000US0622804,150258,62040,105654,6324,24560,1668,9290,14409,7742,19647,122325,81718,1939,17473,87664,06,22804,2022,California,06_22804,Escondido
"Fairfield city, California",1600000US0623182,119333,42118,78266,2912,14652,3036,6665,12411,9230,15263,93588,59264,2230,12403,97467,06,23182,2022,California,06_23182,Fairfield
"Folsom city, California",1600000US0624638,83273,50454,58753,639,7460,812,3259,6741,4546,20785,66757,43454,2445,4147,129045,06,24638,2022,California,06_24638,Folsom
"Fontana city, California",1600000US0624680,212448,37179,134116,5409,36486,3162,7394,18132,10014,21676,164951,112197,7010,18075,93581,06,24680,2022,California,06_24680,Fontana
"Fremont city, California",1600000US0626000,223859,40377,162184,3225,20601,1542,4222,13520,9229,55062,181069,119014,4148,15518,162336,06,26000,2022,California,06_26000,Fremont
"Fresno city, California",1600000US0627000,545564,159923,336953,16444,63257,12470,28404,50958,31538,57883,410292,263824,20850,110260,64196,06,27000,2022,California,06_27000,Fresno
"Fullerton city, California",1600000US0628000,140552,54111,99078,3071,13858,1605,3548,15117,6849,28299,116886,75054,3102,14945,97004,06,28000,2022,California,06_28000,Fullerton
"Garden Grove city, California",1600000US0629000,169265,35562,119996,10654,28022,2405,8060,13068,7682,21922,140254,93501,3963,18893,86975,06,29000,2022,California,06_29000,Garden Grove
"Glendale city, California",1600000US0630000,189228,122045,140938,4569,28557,1896,5929,15796,11390,39290,158030,97705,6314,24385,77483,06,30000,2022,California,06_30000,Glendale
"Hawthorne city, California",1600000US0632548,84564,10198,56468,2836,13284,2243,3344,8609,4532,9197,66106,46897,1867,10682,73515,06,32548,2022,California,06_32548,Hawthorne
"Hayward city, California",1600000US0633000,156773,26539,113350,7904,21443,4978,5688,15897,7815,24204,130251,84924,4958,21778,101199,06,33000,2022,California,06_33000,Hayward
"Hemet city, California",1600000US0633182,90688,34801,63197,2458,17553,2758,5807,11031,3989,7408,72381,36153,2137,15972,54156,06,33182,2022,California,06_33182,Hemet
"Hesperia city, California",1600000US0633434,100766,35146,59328,3928,17922,1818,6030,9060,4131,3259,71724,43195,3587,14454,73821,06,33434,2022,California,06_33434,Hesperia
"Huntington Beach city, California",1600000US0636000,194306,121463,145618,3097,19139,3435,7992,22051,11134,46031,166358,109785,4629,13484,111122,06,36000,2022,California,06_36000,Huntington Beach
"Indio city, California",1600000US0636448,91991,28243,62074,1229,12841,1680,4088,6708,3788,8058,72872,43852,1635,9258,79372,06,36448,2022,California,06_36448,Indio
"Inglewood city, California",1600000US0636546,103628,9190,74180,3170,14653,1533,4754,11168,5195,11628,86034,57651,4382,16555,62601,06,36546,2022,California,06_36546,Inglewood
"Irvine city, California",1600000US0636770,313705,113376,199354,3349,10881,1438,6651,16908,15088,76746,248884,167771,7749,33255,123003,06,36770,2022,California,06_36770,Irvine
"Jurupa Valley city, California",1600000US0637692,107603,20441,69858,3626,21997,2225,4044,8586,5344,5802,84036,55475,2214,8848,92883,06,37692,2022,California,06_37692,Jurupa Valley
"Lake Elsinore city, California",1600000US0639486,71905,27042,43927,2451,8330,2222,3867,6950,4169,5582,53365,35795,1242,6287,91479,06,39486,2022,California,06_39486,Lake Elsinore
"Lake Forest city, California",1600000US0639496,85635,44735,62273,1357,7249,1023,4480,8761,5842,20987,71486,49174,1093,7307,128033,06,39496,2022,California,06_39496,Lake Forest
"Lakewood city, California",1600000US0639892,79042,24729,55962,1607,10871,1346,4571,10452,5222,11708,65880,44840,2224,5283,109309,06,39892,2022,California,06_39892,Lakewood
"Lancaster city, California",1600000US0640130,169192,42431,108691,3023,31419,3402,8561,17510,6982,11943,133602,74664,6720,25226,79113,06,40130,2022,California,06_40130,Lancaster
"Livermore city, California",1600000US0641992,84722,46487,61001,2530,6797,1533,3833,6753,4973,20272,69453,46024,1111,3636,145919,06,41992,2022,California,06_41992,Livermore
"Lodi city, California",1600000US0642202,67273,35024,43924,1748,10606,1236,3396,7150,4415,6975,53698,33748,2502,9363,88440,06,42202,2022,California,06_42202,Lodi
"Long Beach city, California",1600000US0643000,451319,156258,315316,21773,48993,8351,18611,51520,20994,72666,374319,248071,12014,61270,80493,06,43000,2022,California,06_43000,Long Beach
"Los Angeles city, California",1600000US0644000,3822224,1243146,2732430,124594,452637,50653,120633,329986,169642,677481,3182860,2137835,143595,627915,76135,06,44000,2022,California,06_44000,Los Angeles
"Lynwood city, California",1600000US0644574,64081,5137,39628,4978,9582,631,1571,3844,1927,3549,48332,30926,2371,11954,64481,06,44574,2022,California,06_44574,Lynwood
"Madera city, California",1600000US0645022,68042,14052,38593,3229,7133,1644,2438,4275,3495,3557,51083,31765,3434,20688,67454,06,45022,2022,California,06_45022,Madera
"Manteca city, California",1600000US0645484,86940,34471,56202,1854,13992,2908,5471,7301,6160,7117,65310,39677,1988,9268,83380,06,45484,2022,California,06_45484,Manteca
"Menifee city, California",1600000US0646842,109399,49558,73515,2344,15250,1751,8760,13150,6846,12783,84077,49326,3046,11182,86206,06,46842,2022,California,06_46842,Menifee
"Merced city, California",1600000US0646898,91572,24269,56003,2891,12935,2472,3583,10585,4830,6460,68800,43625,6276,18509,64160,06,46898,2022,California,06_46898,Merced
"Milpitas city, California",1600000US0647766,77744,7707,56424,1949,6495,455,1407,4307,3708,17546,64652,41984,1086,2973,169818,06,47766,2022,California,06_47766,Milpitas
"Mission Viejo city, California",1600000US0648256,91775,59788,64992,2231,9714,1680,3133,7289,4701,21130,74430,47974,1710,8565,126469,06,48256,2022,California,06_48256,Mission Viejo
"Modesto city, California",1600000US0648354,218071,90290,143085,4252,36685,4429,10765,23768,13950,20713,166979,105169,7118,35009,73275,06,48354,2022,California,06_48354,Modesto
"Moreno Valley city, California",1600000US0649270,211915,42394,132508,4393,39388,4075,6965,22543,11194,15536,163776,109234,6072,25591,86909,06,49270,2022,California,06_49270,Moreno Valley
"Mountain View city, California",1600000US0649670,81058,33405,58927,745,4328,305,1585,3318,2131,17143,65081,46230,1374,4729,165448,06,49670,2022,California,06_49670,Mountain View
"Murrieta city, California",1600000US0650076,113774,58835,71814,786,11626,3483,6847,12723,9846,14076,87124,57717,3076,6138,106709,06,50076,2022,California,06_50076,Murrieta
"Napa city, California",1600000US0650258,78308,43059,56331,2315,7944,1778,2078,7518,5342,12740,64559,41791,2821,7033,94248,06,50258,2022,California,06_50258,Napa
"Newport Beach city, California",1600000US0651182,83981,66139,,,,,,,,,69549,40109,1284,9503,127353,06,51182,2022,California,06_51182,Newport Beach
"Norwalk city, California",1600000US0652526,98537,13328,66279,5335,16593,1619,4393,8274,4991,10523,78736,51403,2590,9034,94851,06,52526,2022,California,06_52526,Norwalk
"Oakland city, California",1600000US0653000,430531,133901,322671,13726,48534,5120,10668,31300,17396,87587,360866,246462,10373,59357,93146,06,53000,2022,California,06_53000,Oakland
"Oceanside city, California",1600000US0653322,172190,82513,123058,2331,21705,2410,8714,19649,10011,31472,141011,92702,3158,16554,83271,06,53322,2022,California,06_53322,Oceanside
"Ontario city, California",1600000US0653896,179062,35288,114304,6641,28242,3851,9139,17834,11254,15557,139749,89488,4361,22387,79129,06,53896,2022,California,06_53896,Ontario
"Orange city, California",1600000US0653980,136175,67017,97396,3852,16338,1360,5553,14218,9225,26086,115501,78222,3246,10200,105572,06,53980,2022,California,06_53980,Orange
"Oxnard city, California",1600000US0654652,200437,51940,127787,9021,27291,2850,7315,13640,10430,17004,154703,103278,3838,25129,84941,06,54652,2022,California,06_54652,Oxnard
"Palmdale city, California",1600000US0655156,163455,30027,103762,6018,25465,3237,8332,15991,7844,12917,124446,78358,5558,19591,90330,06,55156,2022,California,06_55156,Palmdale
"Palo Alto city, California",1600000US0655282,66021,34489,,,,,,,,,56316,34847,645,2921,179707,06,55282,2022,California,06_55282,Palo Alto
"Pasadena city, California",1600000US0656000,134214,53107,100920,1553,11262,819,3737,10961,6697,32055,114802,82653,2633,18024,95134,06,56000,2022,California,06_56000,Pasadena
"Perris city, California",1600000US0656700,80258,11848,46822,3167,13498,2080,4690,7017,2720,2752,58719,37776,3688,12981,80234,06,56700,2022,California,06_56700,Perris
"Pittsburg city, California",1600000US0657456,77585,13427,51157,2293,11745,1772,3792,7808,5840,7817,62699,40295,3115,6832,88842,06,57456,2022,California,06_57456,Pittsburg
"Pleasanton city, California",1600000US0657792,76689,31893,,,,,,,,,61804,41319,1658,4340,183969,06,57792,2022,California,06_57792,Pleasanton
"Pomona city, California",1600000US0658072,146015,19681,95223,5190,21724,2382,5562,14204,6112,13223,115130,72798,3378,17319,77609,06,58072,2022,California,06_58072,Pomona
"Rancho Cordova city, California",1600000US0659444,80594,42388,54349,655,11734,1729,3710,9736,5669,12395,62639,41336,2198,9544,82178,06,59444,2022,California,06_59444,Rancho Cordova
"Rancho Cucamonga city, California",1600000US0659451,176359,70931,125912,3268,20178,1991,9328,18902,14114,30020,141618,92950,5930,12725,108345,06,59451,2022,California,06_59451,Rancho Cucamonga
"Redding city, California",1600000US0659920,92896,72753,63579,737,13344,1974,5058,13714,8345,11509,73853,42129,1626,12191,68551,06,59920,2022,California,06_59920,Redding
"Redlands city, California",1600000US0659962,73853,33394,46209,541,11086,599,2531,7083,4085,8047,58135,37001,2249,11755,92787,06,59962,2022,California,06_59962,Redlands
"Redondo Beach city, California",1600000US0660018,68908,37789,,,,,,,,,53843,37689,1617,4031,140786,06,60018,2022,California,06_60018,Redondo Beach
"Redwood City city, California",1600000US0660102,80529,34168,56450,1924,5758,760,3621,5140,3141,15749,64844,43015,664,4962,137512,06,60102,2022,California,06_60102,Redwood City
"Rialto city, California",1600000US0660466,103564,17603,65346,4718,19564,2893,3741,9048,4019,6830,81314,51080,2116,14954,85585,06,60466,2022,California,06_60466,Rialto
"Richmond city, California",1600000US0660620,114287,20039,80891,4072,14371,2416,4177,11143,6810,16602,95239,60040,3455,18246,88594,06,60620,2022,California,06_60620,Richmond
"Riverside city, California",1600000US0662000,320785,115597,207340,7779,53540,4156,13627,32906,15446,32898,258174,169997,8276,39772,81228,06,62000,2022,California,06_62000,Riverside
"Rocklin city, California",1600000US0662364,73850,47333,50107,418,7163,931,3842,6261,6584,15264,58054,38359,1479,4160,119436,06,62364,2022,California,06_62364,Rocklin
"Roseville city, California",1600000US0662938,154826,104832,110315,845,18313,2156,7819,18862,12869,31147,125817,78563,3132,8551,100739,06,62938,2022,California,06_62938,Roseville
"Sacramento city, California",1600000US0664000,528026,180012,362765,13522,63925,10043,25411,55333,30739,83628,428758,276316,13817,71169,80254,06,64000,2022,California,06_64000,Sacramento
"Salinas city, California",1600000US0664224,161019,28874,100361,8995,20031,3271,5677,10554,6261,10713,122330,72977,3109,19995,80560,06,64224,2022,California,06_64224,Salinas
"San Bernardino city, California",1600000US0665000,220314,47803,137201,5334,46676,4285,9006,17414,8392,12975,170204,105706,5607,37515,62801,06,65000,2022,California,06_65000,San Bernardino
"San Buenaventura (Ventura) city, California",1600000US0665042,109528,69748,79945,1779,10816,1705,6781,10681,8092,23665,91507,59819,1098,9826,100073,06,65042,2022,California,06_65042,San Buenaventura (Ventura)
"San Diego city, California",1600000US0666000,1381182,624114,971806,23629,117368,20875,51330,122788,72440,286704,1156932,786543,35570,150973,100010,06,66000,2022,California,06_66000,San Diego
"San Francisco city, California",1600000US0667000,808437,315764,644349,25788,60478,9494,19721,52682,34822,226483,710491,490027,18027,82817,136692,06,67000,2022,California,06_67000,San Francisco
"San Jose city, California",1600000US0668000,971265,247191,683331,30143,93974,13865,33979,69240,46473,184306,798878,540089,19361,86223,133835,06,68000,2022,California,06_68000,San Jose
"San Leandro city, California",1600000US0668084,86761,20224,63225,4239,12466,1411,3796,6979,4710,14945,73095,45433,1432,6320,92651,06,68084,2022,California,06_68084,San Leandro
"San Marcos city, California",1600000US0668196,94855,45901,61305,2522,10367,1526,5175,5963,5386,16557,75314,50102,1585,9077,103595,06,68196,2022,California,06_68196,San Marcos
"San Mateo city, California",1600000US0668252,100996,36501,73674,1754,9879,904,3207,6402,4544,22262,82838,56743,1332,8361,159275,06,68252,2022,California,06_68252,San Mateo
"San Ramon city, California",1600000US0668378,85959,30662,,,,,,,,,68187,48596,2151,4416,192291,06,68378,2022,California,06_68378,San Ramon
"Santa Ana city, California",1600000US0669000,308203,46430,198337,15019,50149,3222,9756,22124,12560,24696,242657,161954,7645,34364,79351,06,69000,2022,California,06_69000,Santa Ana
"Santa Barbara city, California",1600000US0669070,87519,53256,63572,2405,5488,1254,3757,8714,5208,17636,75769,47375,1955,12586,104001,06,69070,2022,California,06_69070,Santa Barbara
"Santa Clara city, California",1600000US0669084,126920,35965,93552,2035,8597,1512,2745,6358,6813,27038,105975,74342,3540,10878,158614,06,69084,2022,California,06_69084,Santa Clara
"Santa Clarita city, California",1600000US0669088,221362,105673,149675,4419,24484,4048,10280,24373,13899,39289,174366,120935,5602,16542,111236,06,69088,2022,California,06_69088,Santa Clarita
"Santa Maria city, California",1600000US0669196,110124,30414,62775,4375,13812,1180,4450,5677,4884,7068,78296,53167,2871,18658,81447,06,69196,2022,California,06_69196,Santa Maria
"Santa Monica city, California",1600000US0670000,89951,56058,70568,794,6013,1417,2340,5990,3773,26580,77504,50941,1663,10191,110030,06,70000,2022,California,06_70000,Santa Monica
"Santa Rosa city, California",1600000US0670098,177185,94366,127542,3030,18459,3732,9632,20760,12714,26035,147163,97141,3445,16639,95403,06,70098,2022,California,06_70098,Santa Rosa
"Simi Valley city, California",1600000US0672016,124395,70650,85978,1376,13785,2469,6989,10071,8601,22349,99417,66695,2901,7817,113992,06,72016,2022,California,06_72016,Simi Valley
"South Gate city, California",1600000US0673080,90935,8956,60498,5840,13583,1608,2434,7108,3628,6056,71838,48043,2767,15868,70939,06,73080,2022,California,06_73080,South Gate
"Stockton city, California",1600000US0675000,321796,68724,205696,14158,49792,8982,13034,28108,17975,29832,247586,155890,10535,47277,76231,06,75000,2022,California,06_75000,Stockton
"Sunnyvale city, California",1600000US0677000,153076,43040,113005,1576,11449,1444,3526,6402,7805,33920,127785,92749,3712,9405,169781,06,77000,2022,California,06_77000,Sunnyvale
"Temecula city, California",1600000US0678120,111763,60339,74089,1201,12800,1591,6016,11627,6641,17993,84645,56176,2374,6896,113168,06,78120,2022,California,06_78120,Temecula
"Thousand Oaks city, California",1600000US0678582,124257,81126,89819,1209,11267,1475,4373,12287,6748,26995,105575,65427,3029,13106,124811,06,78582,2022,California,06_78582,Thousand Oaks
"Torrance city, California",1600000US0680000,141127,46804,103484,1692,17125,1334,5066,11601,8135,36345,116702,76202,2558,7931,108406,06,80000,2022,California,06_80000,Torrance
"Tracy city, California",1600000US0680238,97328,31294,61580,3095,13737,1166,4342,8570,4925,12804,74139,49215,3233,6392,113083,06,80238,2022,California,06_80238,Tracy
"Tulare city, California",1600000US0680644,70690,21363,40338,1155,10894,1726,4379,6859,3457,3141,51161,30396,3125,17491,58586,06,80644,2022,California,06_80644,Tulare
"Turlock city, California",1600000US0680812,72307,34398,44823,1816,10157,1309,3260,5433,4100,8838,55689,36271,2041,7604,76031,06,80812,2022,California,06_80812,Turlock
"Tustin city, California",1600000US0680854,78412,22841,53177,2342,8443,1084,2812,4565,4461,16587,62971,42411,2387,7543,104427,06,80854,2022,California,06_80854,Tustin
"Union City city, California",1600000US0681204,67049,11011,52124,1828,8019,1574,3252,5045,3512,16504,58372,39381,2267,4811,148460,06,81204,2022,California,06_81204,Union City
"Upland city, California",1600000US0681344,78851,30857,53113,1191,11845,873,3298,7325,5316,11828,61696,40105,2622,9220,97838,06,81344,2022,California,06_81344,Upland
"Vacaville city, California",1600000US0681554,101898,56834,71058,406,13949,3080,6083,13332,9774,14594,81828,48839,3755,6727,97289,06,81554,2022,California,06_81554,Vacaville
"Vallejo city, California",1600000US0681666,123583,26625,89925,3494,17342,4065,7955,14254,7902,18101,102067,63424,3889,13679,88063,06,81666,2022,California,06_81666,Vallejo
"Victorville city, California",1600000US0682590,137224,35889,78919,2844,23586,4520,5859,10696,5704,8911,99050,55082,5938,20983,69569,06,82590,2022,California,06_82590,Victorville
"Visalia city, California",1600000US0682954,143965,73154,93714,3748,20139,3547,6098,17977,11382,12643,107701,71269,2915,16768,81362,06,82954,2022,California,06_82954,Visalia
"Vista city, California",1600000US0682996,97766,40693,68268,2844,12749,1605,3998,10475,6228,14238,79160,54696,3344,9913,88839,06,82996,2022,California,06_82996,Vista
"Walnut Creek city, California",1600000US0683346,68969,45127,51249,415,4064,768,2770,3682,4025,18009,56950,32403,1551,5971,106141,06,83346,2022,California,06_83346,Walnut Creek
"West Covina city, California",1600000US0684200,105032,17419,73069,1931,18653,2543,3331,12009,6018,16084,84999,51594,3192,11451,84663,06,84200,2022,California,06_84200,West Covina
"Westminster city, California",1600000US0684550,89399,20256,66265,3324,14047,1666,3865,8075,6223,11255,75984,44281,1451,11819,85229,06,84550,2022,California,06_84550,Westminster
"Whittier city, California",1600000US0685292,84503,25295,59809,1208,14474,1340,3937,9569,5828,11530,69418,42868,1978,8108,91457,06,85292,2022,California,06_85292,Whittier
"Yorba Linda city, California",1600000US0686832,67077,36286,49288,381,5131,466,3163,6641,3302,17854,55943,33996,1575,3876,151534,06,86832,2022,California,06_86832,Yorba Linda
"Yuba City city, California",1600000US0686972,69004,26472,46169,2243,8807,2310,3406,6547,5257,6615,55490,30459,3287,11334,59588,06,86972,2022,California,06_86972,Yuba City
"Arvada city, Colorado",1600000US0803455,121672,99540,90771,658,13372,3709,4626,10662,6186,30883,101318,72306,1929,6032,110100,08,03455,2022,Colorado,08_03455,Arvada
"Aurora city, Colorado",1600000US0804000,393319,183583,258687,6162,51284,10968,20601,33963,23156,58545,309649,224971,10607,43113,81395,08,04000,2022,Colorado,08_04000,Aurora
"Boulder city, Colorado",1600000US0807850,105482,86828,59751,0,3198,740,1666,5020,1641,22549,96508,62096,2122,22857,81608,08,07850,2022,Colorado,08_07850,Boulder
"Broomfield city, Colorado",1600000US0809280,76121,57467,,,,,,,,,62341,43138,876,5585,115833,08,09280,2022,Colorado,08_09280,Broomfield
"Castle Rock town, Colorado",1600000US0812415,80192,68872,,,,,,,,,63257,48884,1156,3063,142927,08,12415,2022,Colorado,08_12415,Castle Rock town
"Centennial city, Colorado",1600000US0812815,105860,84437,76870,369,6841,1565,3318,8051,4713,29756,87655,59588,1580,2764,126224,08,12815,2022,Colorado,08_12815,Centennial
"Colorado Springs city, Colorado",1600000US0816000,486228,338742,334838,3259,56008,12542,24558,47762,32126,86687,394525,270433,10626,45296,78568,08,16000,2022,Colorado,08_16000,Colorado Springs
"Commerce City city, Colorado",1600000US0816495,66116,33154,40915,1401,10366,1955,1892,5807,4390,6668,47707,34065,1290,11330,102607,08,16495,2022,Colorado,08_16495,Commerce City
"Denver city, Colorado",1600000US0820000,713252,426365,525770,8394,56991,17430,21299,57077,24936,187626,598524,447400,16538,82743,88213,08,20000,2022,Colorado,08_20000,Denver
"Fort Collins city, Colorado",1600000US0827425,169248,136612,103610,925,10243,2308,5534,11698,8627,36900,143422,98921,4735,29102,80227,08,27425,2022,Colorado,08_27425,Fort Collins
"Grand Junction city, Colorado",1600000US0831660,68054,54182,44838,178,9695,1857,3546,6837,3752,11465,56450,35031,1984,9043,61458,08,31660,2022,Colorado,08_31660,Grand Junction
"Greeley city, Colorado",1600000US0832155,109203,73207,71192,3117,15375,2832,5201,9716,6476,12942,86418,56588,2009,16148,69338,08,32155,2022,Colorado,08_32155,Greeley
"Highlands Ranch CDP, Colorado",1600000US0836410,103830,83486,,,,,,,,,82078,58152,1206,2585,152038,08,36410,2022,Colorado,08_36410,Highlands Ranch CDP
"Lakewood city, Colorado",1600000US0843000,156114,109596,115973,1398,20917,3861,6876,15056,9900,35210,133841,92088,3398,13060,85988,08,43000,2022,Colorado,08_43000,Lakewood
"Longmont city, Colorado",1600000US0845970,100656,75362,72699,1697,10851,2032,5501,10227,6180,21976,83949,59384,1830,9411,89010,08,45970,2022,Colorado,08_45970,Longmont
"Loveland city, Colorado",1600000US0846465,77890,63412,54648,129,10844,2072,3765,7657,5760,14983,64336,43930,1975,4387,81149,08,46465,2022,Colorado,08_46465,Loveland
"Pueblo city, Colorado",1600000US0862000,111449,70221,76928,599,20509,4757,5693,10936,8498,10508,89720,46702,2368,19307,51697,08,62000,2022,Colorado,08_62000,Pueblo
"Thornton city, Colorado",1600000US0877290,143279,84962,93295,3654,18231,3473,6491,13224,7798,21028,112681,86175,2406,8225,105116,08,77290,2022,Colorado,08_77290,Thornton
"Westminster city, Colorado",1600000US0883835,114539,80580,84182,912,14646,3260,4608,9673,5457,25738,95525,70968,1598,8501,101529,08,83835,2022,Colorado,08_83835,Westminster
"Bridgeport city, Connecticut",1600000US0908000,148365,51703,101368,4780,29491,5278,6419,10441,7744,13116,121458,74075,6347,32543,50311,09,08000,2022,Connecticut,09_08000,Bridgeport
"Danbury city, Connecticut",1600000US0918430,86971,34614,57591,1962,11567,1642,3174,4246,4922,14131,69942,49354,2555,9062,88132,09,18430,2022,Connecticut,09_18430,Danbury
"Hartford city, Connecticut",1600000US0937000,120682,31218,76234,5067,20366,4997,3789,8880,4598,10440,96632,63464,7222,30448,41529,09,37000,2022,Connecticut,09_37000,Hartford
"New Britain city, Connecticut",1600000US0950370,74408,38408,49592,1516,14314,2811,3424,3657,6176,6165,61430,42253,1912,12281,50209,09,50370,2022,Connecticut,09_50370,New Britain
"New Haven city, Connecticut",1600000US0952000,138909,49993,84520,1026,20957,3685,2936,7012,5248,14822,112406,71430,4755,26547,53909,09,52000,2022,Connecticut,09_52000,New Haven
"Norwalk city, Connecticut",1600000US0955990,91381,41844,68750,1074,13613,2206,3848,7304,6723,17271,78586,55737,2465,10454,107140,09,55990,2022,Connecticut,09_55990,Norwalk
"Stamford city, Connecticut",1600000US0973000,136197,70073,98121,3841,14547,1662,5141,9034,4911,30126,115716,82459,2938,12915,89797,09,73000,2022,Connecticut,09_73000,Stamford
"Waterbury city, Connecticut",1600000US0980000,115009,40810,76910,4293,20680,5933,5949,8168,7917,6033,90890,52859,4376,18921,51572,09,80000,2022,Connecticut,09_80000,Waterbury
"Wilmington city, Delaware",1600000US1077580,71568,24096,50391,790,11695,2377,3460,5688,2662,8537,58838,37770,1223,15316,52768,10,77580,2022,Delaware,10_77580,Wilmington
"Washington city, District of Columbia",1600000US1150000,671803,257963,479231,4037,53376,11167,15868,39217,15974,126678,557547,400108,20199,85676,101027,11,50000,2022,District of Columbia,11_50000,Washington
"Alafaya CDP, Florida",1600000US1200410,91249,35786,,,,,,,,,74761,54623,2005,8485,88731,12,00410,2022,Florida,12_00410,Alafaya CDP
"Boca Raton city, Florida",1600000US1207300,98997,71266,69073,905,7524,1372,4188,5986,4599,24308,84551,49694,2486,8626,88620,12,07300,2022,Florida,12_07300,Boca Raton
"Boynton Beach city, Florida",1600000US1207875,80866,38708,61946,2744,14541,2582,3378,6228,5652,15801,69388,42162,1045,6591,66472,12,07875,2022,Florida,12_07875,Boynton Beach
